day,pnl,avg_pnl_last_1D,num_trades_last_1D,pnl_last_1D,pl_ratio_last_1D,avg_pnl_last_3D,num_trades_last_3D,pnl_last_3D,pl_ratio_last_3D,avg_pnl_last_5D,num_trades_last_5D,pnl_last_5D,pl_ratio_last_5D,avg_pnl_last_10D,num_trades_last_10D,pnl_last_10D,pl_ratio_last_10D,avg_pnl_last_21D,num_trades_last_21D,pnl_last_21D,pl_ratio_last_21D
,140981.12999999998,,,,,,,,,,,,,,,,,,,,
2018-01-04,305427.47,237.74220910623941,593,140981.12999999998,-1.3674751315753078,,,,,,,,,,,,,,,,
2018-01-05,105941.60999999993,428.36952314165495,713,305427.47,-1.280431535088051,,,,,,,,,,,,,,,,
2018-01-08,-31463.039999999994,237.5372421524662,446,105941.60999999993,-0.8985275957421454,315.26838470319564,1752,552350.2099999988,-1.2241974302192031,,,,,,,,,,,,
2018-01-09,51676.090000000004,-65.82225941422593,478,-31463.039999999994,-1.0899284713669914,232.0745510079412,1637,379906.03999999975,-1.2370539189162562,,,,,,,,,,,,
2018-01-10,-60539.33999999997,131.4913231552163,393,51676.090000000004,-1.185628911961217,95.7894153378891,1317,126154.65999999993,-1.0794820817978237,218.28565001906165,2623,572563.2599999987,-1.2668264651266419,,,,,,,,
2018-01-11,78811.78000000004,-172.47675213675205,351,-60539.33999999997,-1.092640842946924,-33.000237315875566,1222,-40326.28999999994,-1.0569902434703107,155.83485510289785,2381,371042.7899999998,-1.2059371775451189,,,,,,,,
2018-01-12,91254.07000000008,256.71589576547245,307,78811.78000000004,-0.950815982213765,66.55426260704101,1051,69948.5300000001,-1.1010373116451224,73.12764556962033,1975,144427.10000000015,-1.078752028200424,,,,,,,,
2018-01-16,318581.1399999997,138.473550834598,659,91254.07000000008,-0.969191629058276,83.1636370539104,1317,109526.51000000001,-1.035921098918356,59.29595978062162,2188,129739.56000000011,-1.071770362237576,,,,,,,,
2018-01-17,94892.85000000002,412.1360155239324,773,318581.1399999997,-1.058172607264279,280.9930937320295,1739,488646.98999999923,-1.0630462253259723,193.22744260974582,2483,479783.7399999989,-1.1390594230739912,,,,,,,,
2018-01-18,-13351.029999999997,258.5636239782017,367,94892.85000000002,-1.0488888919611232,280.56034463590873,1799,504728.05999999976,-1.0849455520072449,212.86141636141622,2457,523000.49999999965,-1.1183543659700368,215.66215748031496,5080,1095563.76,-1.185446069520885,,,,
2018-01-19,35192.35999999999,-41.334458204334354,323,-13351.029999999997,-1.1990279527420713,273.494846206425,1463,400122.9599999998,-1.2452475816673456,234.74220255249085,2429,570188.8100000003,-1.1424963213649595,195.68224532224505,4810,941231.5999999987,-1.1851102882845292,,,,
2018-01-22,-16961.329999999994,88.20140350877192,399,35192.35999999999,-1.3633114699248092,107.19392102846648,1089,116734.18,-1.2828856597073093,208.87322094407006,2521,526569.3900000006,-1.225845232735118,149.24299154804265,4496,670996.4899999998,-1.1738226949794812,,,,
2018-01-23,8877.530000000022,-37.195899122807006,456,-16961.329999999994,-1.0682327894599,4.142614601018708,1178,4880.000000000037,-1.177640500070124,180.48058239861942,2318,418353.9899999998,-1.2750520192133872,121.63638482023948,4506,548093.5499999991,-1.189866637415005,,,,
