day,pnl,avg_pnl_last_1D,num_trades_last_1D,pnl_last_1D,pl_ratio_last_1D,std_last_1D,avg_pnl_last_3D,num_trades_last_3D,pnl_last_3D,pl_ratio_last_3D,std_last_3D,avg_pnl_last_5D,num_trades_last_5D,pnl_last_5D,pl_ratio_last_5D,std_last_5D,avg_pnl_last_10D,num_trades_last_10D,pnl_last_10D,pl_ratio_last_10D,std_last_10D,avg_pnl_last_21D,num_trades_last_21D,pnl_last_21D,pl_ratio_last_21D,std_last_21D
,140981.12999999998,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,305427.47,237.74220910623941,593,140981.12999999998,-1.3674751315753078,752.8430058012237,,,,,,,,,,,,,,,,,,,,
2018-01-05,105941.60999999993,428.36952314165495,713,305427.47,-1.280431535088051,676.755254229209,,,,,,,,,,,,,,,,,,,,
2018-01-08,-31463.039999999994,237.5372421524662,446,105941.60999999993,-0.8985275957421454,591.5771187651112,315.26838470319564,1752,552350.2099999988,-1.2241974302192031,689.9935924204194,,,,,,,,,,,,,,,
2018-01-09,51676.090000000004,-65.82225941422593,478,-31463.039999999994,-1.0899284713669914,593.0273993408344,232.0745510079412,1637,379906.03999999975,-1.2370539189162562,663.4930770390903,,,,,,,,,,,,,,,
2018-01-10,-60539.33999999997,131.4913231552163,393,51676.090000000004,-1.185628911961217,540.6714234779566,95.7894153378891,1317,126154.65999999993,-1.0794820817978237,591.6517099866959,218.28565001906165,2623,572563.2599999987,-1.2668264651266419,669.3330223372986,,,,,,,,,,
2018-01-11,78811.78000000004,-172.47675213675205,351,-60539.33999999997,-1.092640842946924,542.511860564605,-33.000237315875566,1222,-40326.28999999994,-1.0569902434703107,575.1755581713312,155.83485510289785,2381,371042.7899999998,-1.2059371775451189,643.6511350537451,,,,,,,,,,
2018-01-12,91254.07000000008,256.71589576547245,307,78811.78000000004,-0.950815982213765,762.477791174254,66.55426260704101,1051,69948.5300000001,-1.1010373116451224,639.2526099587031,73.12764556962033,1975,144427.10000000015,-1.078752028200424,626.4232459980715,,,,,,,,,,
2018-01-16,318581.1399999997,138.473550834598,659,91254.07000000008,-0.969191629058276,606.3103485097389,83.1636370539104,1317,109526.51000000001,-1.035921098918356,651.0579643849891,59.29595978062162,2188,129739.56000000011,-1.071770362237576,623.8387908777268,,,,,,,,,,
2018-01-17,94892.85000000002,412.1360155239324,773,318581.1399999997,-1.058172607264279,780.7564117801036,280.9930937320295,1739,488646.98999999923,-1.0630462253259723,726.8783700660642,193.22744260974582,2483,479783.7399999989,-1.1390594230739912,694.8490108377019,,,,,,,,,,
2018-01-18,-13351.029999999997,258.5636239782017,367,94892.85000000002,-1.0488888919611232,724.3182680366845,280.56034463590873,1799,504728.05999999976,-1.0849455520072449,720.1029081599419,212.86141636141622,2457,523000.49999999965,-1.1183543659700368,720.5370000130614,215.66215748031496,5080,1095563.76,-1.185446069520885,694.5752036063506,,,,,
2018-01-19,35192.35999999999,-41.334458204334354,323,-13351.029999999997,-1.1990279527420713,567.1255931481611,273.494846206425,1463,400122.9599999998,-1.2452475816673456,746.1861983115275,234.74220255249085,2429,570188.8100000003,-1.1424963213649595,715.5796909373403,195.68224532224505,4810,941231.5999999987,-1.1851102882845292,682.0665638224195,,,,,
2018-01-22,-16961.329999999994,88.20140350877192,399,35192.35999999999,-1.3633114699248092,511.88943833922053,107.19392102846648,1089,116734.18,-1.2828856597073093,618.5512283000891,208.87322094407006,2521,526569.3900000006,-1.225845232735118,683.1634650050247,149.24299154804265,4496,670996.4899999998,-1.1738226949794812,662.2763013725554,,,,,
2018-01-23,8877.530000000022,-37.195899122807006,456,-16961.329999999994,-1.0682327894599,672.2013404437444,4.142614601018708,1178,4880.000000000037,-1.177640500070124,596.2172127658315,180.48058239861942,2318,418353.9899999998,-1.2750520192133872,708.2793681359476,121.63638482023948,4506,548093.5499999991,-1.189866637415005,671.3480764763254,,,,,
2018-01-24,112648.27,8.807073412698434,1008,8877.530000000022,-1.1413909657548436,671.7274491744937,14.551025228126687,1863,27108.560000000016,-1.1482447575675347,642.4098100055626,42.5579240109675,2553,108650.38000000002,-1.1737943180312866,652.2518419932168,116.84553613979323,5036,588434.1199999987,-1.1759993016200223,677.7899591318957,,,,,
2018-01-25,85878.2000000001,249.22183628318584,452,112648.27,-1.5566734761277592,639.1132755453174,54.57435803757832,1916,104564.47000000006,-1.1773241135920562,673.2964677875032,47.91728582259285,2638,126405.79999999994,-1.2071445444563995,639.9391483360521,127.45952894995088,5095,649406.2999999997,-1.199655647555504,684.9767976809366,,,,,
2018-01-26,52075.88999999999,204.95990453460644,419,85878.2000000001,-1.0346301828850952,664.5412403109195,110.37998935604038,1879,207403.99999999988,-1.187944164456682,671.5346980727015,82.52927212874899,2734,225635.02999999974,-1.1879261014796505,653.042608574487,154.13981018787527,5163,795823.8400000001,-1.190730555116047,687.388814937303,,,,,
2018-01-29,-91313.63999999997,225.4367532467532,231,52075.88999999999,-0.9498378935098489,686.1781910149313,227.4068602540837,1102,250602.36000000025,-1.1915569237811923,659.1905888388679,94.51229929851908,2566,242518.55999999997,-1.152625699870831,676.5486351906039,151.1869372911342,5087,769087.9499999997,-1.1915827444171543,682.235117176619,,,,,
